stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
47,0.5,5.5,59.05550929200399,,59.05127559399989,59.05550929200399,59.5477124780009,59.5477124780009,59.552984565998486,59.83624146000511,60.26748529299948,right,5.5,1,1,0.7127969169960124,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
48,0.5,5.5,60.27183069899911,,60.26776107600017,60.27183069899911,60.764399044004676,60.764399044004676,60.7714387369997,61.05362227900332,61.50532993100205,right,5.5,1,1,0.7356304339991766,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
49,0.5,5.5,61.514325615004054,,61.505544059000385,61.514325615004054,62.00338377799926,62.00338377799926,62.00338377799926,62.29775601300207,62.533719493003446,right,5.5,1,1,0.5207808869963628,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
50,0.5,5.0,62.53776663300232,,62.53393299200252,62.53776663300232,63.03097749900189,63.03097749900189,63.036985429003835,63.320367405998695,63.533254150002904,left,-5.0,1,1,0.4914910130028147,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
51,0.5,5.0,63.53720848300145,,63.53345981200255,63.53720848300145,64.03514047500357,64.03514047500357,64.03514047500357,64.33424261899927,64.52261814600206,right,5.0,1,1,0.48219314799644053,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
52,0.5,5.0,64.53049090399873,,64.5228663980015,64.53049090399873,65.01999833599984,65.01999833599984,65.01999833599984,65.31456162700488,65.53936887199961,left,-5.0,1,1,0.5166219489983632,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
53,0.5,4.5,65.54717136500403,,65.53962345600303,65.54717136500403,66.0363561750055,66.0363561750055,66.0363561750055,66.33111733400438,66.59998158700182,right,4.5,1,1,0.5565482019956107,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
54,0.5,4.5,66.60414405500342,,66.60023194500536,66.60414405500342,67.09767849700438,67.09767849700438,67.10376587200153,67.38483879400155,67.55525527900318,left,-4.5,1,1,0.4529799390002154,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
55,0.5,4.5,67.56395902700024,,67.55550862100063,67.56395902700024,68.05325812999945,68.05325812999945,68.05325812999945,68.34823985600087,68.40043698600493,left,-4.5,0,0,0.34122275600384455,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
56,0.5,5.0,68.40476977800427,,68.40069763600331,68.40476977800427,68.90208617900498,68.90208617900498,68.91462204800337,69.20076338600484,69.43956790299853,right,5.0,0,0,0.534677196003031,794988,001,2024-09-11_12h43.54.456,adaptive_staircase,2024.2.1,110.98429306298745,2024-09-11 12h43.59.821273 +0530,
